id,statistic_description,production_practice_description,naics_description,year,coefficient_of_variance,value
48,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Potato Farming,2012,2,3995512000
58,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Other Vegetable (except Potato) and Melon Farming,2012,3.3,12628746000
50,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Apple Orchards,2012,9,2750702000
15,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Grape Vineyards,2012,2.9,6816072000
35,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Strawberry Farming,2012,10,1860428000
39,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Berry (except Strawberry) Farming,2012,2.6,1339096000
59,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Tree Nut Farming,2012,3.5,6942604000
29,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Fruit and Tree Nut Combination Farming,2012,8.3,456220000
52,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Other Noncitrus Fruit Farming,2012,4.6,2592922000
45,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Nursery and Tree Production,2012,3.9,7040218000
24,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Floriculture Production,2012,2.6,5961193000
17,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Beef Cattle Ranching and Farming,2012,2.5,3856930000
32,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,Cattle Feedlots,2012,7.5,1643222000
47,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.6,212397074000
43,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.2,106115728000
41,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,1.6,57540345000
31,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2,106281346000
66,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,10.6,47781000
57,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,3,14694443000
44,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,3.5,1210614000
38,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,4.1,63396809000
61,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,19.2,19888000
18,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.2,8368777000
54,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2,10305269000
67,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,2.8,1693031000
30,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,4.8,597989000
26,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,15.2,11142000
11,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,,2012,4.4,621890000
