id,state_alpha,statistic_description,production_practice_description,domain_category_description,naics_description,year,coefficient_of_variance,value
2,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,0.4,17909000
53,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,0.7,11560000
101,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,5,6948000
151,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,1.6,24556000
857,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11142),,2012,0.3,12115000
893,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111421),Nursery and Tree Production,2012,1.4,1486000
931,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111422),Floriculture Production,2012,0.2,10628000
1070,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,1.8,290000
1117,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,3.5,302000
1262,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,2.5,141000
1811,AK,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NOT SPECIFIED,,2012,1.6,24857000
1,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),,2012,12.6,563265000
52,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,2012,8.2,184070000
100,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,IRRIGATION STATUS: (NONE ON OPERATION),,2012,2.3,751706000
150,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111),,2012,4.9,1241618000
199,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1111),,2012,2.2,396493000
246,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11111),,2012,9.2,101975000
282,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11113),,2012,57.4,142000
289,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11114),,2012,17.6,2878000
315,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11115),,2012,9.4,72383000
363,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11119),,2012,2.7,219114000
402,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1112),,2012,21.3,45128000
446,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111211),Potato Farming,2012,35,2630000
470,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111219),Other Vegetable (except Potato) and Melon Farming,2012,22.1,42498000
497,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1113),,2012,13.4,21660000
616,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111332),Grape Vineyards,2012,35.2,1274000
647,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111333),Strawberry Farming,2012,72.7,355000
697,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111335),Tree Nut Farming,2012,16.1,9595000
724,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111336),Fruit and Tree Nut Combination Farming,2012,12.5,457000
741,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111339),Other Noncitrus Fruit Farming,2012,23.3,6372000
778,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1114),,2012,12.7,251110000
856,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11142),,2012,10.7,247285000
892,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111421),Nursery and Tree Production,2012,12,154249000
930,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (111422),Floriculture Production,2012,11,93037000
964,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1119),,2012,3.5,527228000
1018,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11192),,2012,14.9,151956000
1032,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11194),,2012,19.3,44464000
1069,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11199),,2012,8.9,330808000
1116,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112),,2012,30.9,73353000
1166,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (1121),,2012,44.7,23385000
1214,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11211),,2012,45.8,21270000
1261,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (112111),Beef Cattle Ranching and Farming,2012,45.8,21270000
1335,AL,"CROP TOTALS - SALES, MEASURED IN $",ALL PRODUCTION PRACTICES,NAICS CLASSIFICATION: (11212),,2012,34,2116000
