year,state_alpha,price,cv
2012,AL,23872000,11.5
2012,AR,15600000,12
2012,CA,17638972000,2.6
2012,CO,23956000,10.4
2012,CT,27349000,5.7
2012,FL,1847805000,2.9
2012,GA,308428000,1.7
2012,HI,151821000,6.4
2012,IL,19535000,9.2
2012,IN,10897000,6.4
2012,IA,3668000,8.9
2012,KS,5808000,20.7
2012,KY,7839000,13.5
2012,ME,114657000,3.3
2012,MD,20065000,7.4
2012,MA,125585000,5.9
2012,MI,257133000,7.5
2012,MN,17974000,9.6
2012,MS,23771000,12.5
2012,MO,25749000,3.9
2012,MT,3658000,7.7
2012,NE,3157000,38.7
2012,NH,10777000,4.7
2012,NJ,145351000,4.2
2012,NM,110875000,2.7
2012,NY,307644000,15.2
2012,NC,85150000,5.6
2012,ND,247000,21.4
2012,OH,27215000,8.1
2012,OK,41373000,6.3
2012,OR,517166000,5.2
2012,PA,160501000,10
2012,RI,4131000,30.8
2012,SC,65762000,20.2
2012,SD,887000,13.5
2012,TX,251647000,11.7
2012,UT,31299000,7
2012,VT,13494000,18
2012,VA,65820000,3.8
2012,WA,2931370000,10.1
2012,WV,26772000,2.2
2012,WI,219271000,3.6
2012,WY,291000,53.2
2007,AL,27610000,0
2007,AK,75000,0
2007,AZ,97745000,0
2007,AR,13209000,0
2007,CA,11054581000,0
2007,CO,23192000,0
2007,CT,28641000,0
2007,FL,2144718000,0
2007,GA,201504000,0
2007,HI,154315000,0
2007,ID,30036000,0
2007,IL,10246000,0
2007,IN,19193000,0
2007,IA,7371000,0
2007,KS,7293000,0
2007,KY,3088000,0
2007,LA,19358000,0
2007,ME,85183000,0
2007,MD,19393000,0
2007,MA,100623000,0
2007,MI,392472000,0
2007,MN,18517000,0
2007,MS,33498000,0
2007,MO,4315000,0
2007,MT,7877000,0
2007,NE,2594000,0
2007,NH,12968000,0
2007,NJ,147933000,0
2007,NM,105867000,0
2007,NY,363295000,0
2007,NC,79288000,0
2007,OH,45419000,0
2007,OK,17543000,0
2007,OR,515582000,0
2007,PA,151101000,0
2007,RI,4483000,0
2007,SC,34481000,0
2007,SD,412000,0
2007,TN,2552000,0
2007,TX,219819000,0
2007,UT,17022000,0
2007,VT,15875000,0
2007,VA,68193000,0
2007,WA,2081031000,0
2007,WV,14206000,0
2007,WI,218248000,0
2002,AL,20543000,0
2002,AR,12920000,0
2002,CA,8720660000,0
2002,CO,15735000,0
2002,CT,14721000,0
2002,DE,2496000,0
2002,FL,1611562000,0
2002,GA,122151000,0
2002,HI,179475000,0
2002,ID,17471000,0
2002,IL,18559000,0
2002,IN,15787000,0
2002,IA,4496000,0
2002,KY,5941000,0
2002,ME,33970000,0
2002,MD,12967000,0
2002,MA,55508000,0
2002,MI,181469000,0
2002,MN,12948000,0
2002,MS,14093000,0
2002,MO,22823000,0
2002,MT,5771000,0
2002,NE,1375000,0
2002,NH,9321000,0
2002,NJ,87148000,0
2002,NM,59061000,0
2002,NY,180540000,0
2002,NC,55756000,0
2002,OH,34532000,0
2002,OK,11863000,0
2002,OR,277745000,0
2002,PA,109383000,0
2002,RI,2358000,0
2002,SC,40003000,0
2002,TN,6363000,0
2002,TX,114822000,0
2002,UT,6162000,0
2002,VT,9270000,0
2002,VA,40954000,0
2002,WA,1354238000,0
2002,WV,11443000,0
2002,WI,107972000,0
2002,WY,87000,0
1997,AL,8273000,0
1997,AK,21000,0
1997,AZ,121996000,0
1997,AR,9828000,0
1997,CA,7886855000,0
1997,CO,9881000,0
1997,CT,11882000,0
1997,DE,1995000,0
1997,FL,1506771000,0
1997,GA,109811000,0
1997,HI,174573000,0
1997,ID,26572000,0
1997,IL,14102000,0
1997,IN,12837000,0
1997,IA,3602000,0
1997,KS,1571000,0
1997,KY,2719000,0
1997,LA,6183000,0
1997,ME,48626000,0
1997,MD,12024000,0
1997,MA,162577000,0
1997,MI,249176000,0
1997,MN,8869000,0
1997,MS,4058000,0
1997,MO,13486000,0
1997,MT,1210000,0
1997,NE,562000,0
1997,NV,440000,0
1997,NH,10764000,0
1997,NJ,89802000,0
1997,NM,44914000,0
1997,NY,193464000,0
1997,NC,30417000,0
1997,ND,86000,0
1997,OH,20565000,0
1997,OK,9496000,0
1997,OR,318114000,0
1997,PA,101543000,0
1997,RI,2001000,0
1997,SC,33478000,0
1997,SD,197000,0
1997,TN,5970000,0
1997,TX,92124000,0
1997,UT,11276000,0
1997,VT,10141000,0
1997,VA,34516000,0
1997,WA,1290500000,0
1997,WV,14141000,0
1997,WI,159356000,0
1997,WY,20000,0
