day,price,petroleum_state,location
1986-01-02,25.56,CRUDE,
1986-01-03,26,CRUDE,
1986-01-06,26.53,CRUDE,
1986-01-07,25.85,CRUDE,
1986-01-08,25.87,CRUDE,
1986-01-09,26.03,CRUDE,
1986-01-10,25.65,CRUDE,
1986-01-13,25.08,CRUDE,
1986-01-14,24.97,CRUDE,
1986-01-15,25.18,CRUDE,
1986-01-16,23.98,CRUDE,
1986-01-17,23.63,CRUDE,
1986-01-20,21.33,CRUDE,
1986-01-21,20.61,CRUDE,
1986-01-22,20.25,CRUDE,
1986-01-23,19.93,CRUDE,
1986-01-24,19.45,CRUDE,
1986-01-27,20.87,CRUDE,
1986-01-28,19.45,CRUDE,
1986-01-29,19.61,CRUDE,
1986-01-30,19.58,CRUDE,
1986-01-31,18.95,CRUDE,
1986-02-03,17.42,CRUDE,
1986-02-04,15.58,CRUDE,
1986-02-05,16.28,CRUDE,
1986-02-06,16.6,CRUDE,
1986-02-07,17.7,CRUDE,
1986-02-10,16.78,CRUDE,
1986-02-11,16.28,CRUDE,
1986-02-12,15.74,CRUDE,
1986-02-13,16.43,CRUDE,
1986-02-14,16.03,CRUDE,
1986-02-18,14.7,CRUDE,
1986-02-19,15.08,CRUDE,
1986-02-20,14.13,CRUDE,
1986-02-21,13.63,CRUDE,
1986-02-24,14.68,CRUDE,
1986-02-25,14.68,CRUDE,
1986-02-26,14.62,CRUDE,
1986-02-27,14.05,CRUDE,
1986-02-28,13.23,CRUDE,
1986-03-03,11.98,CRUDE,
1986-03-04,11.98,CRUDE,
1986-03-05,12.03,CRUDE,
1986-03-06,13.13,CRUDE,
1986-03-07,12.24,CRUDE,
1986-03-10,12.94,CRUDE,
1986-03-11,13.23,CRUDE,
1986-03-12,14.05,CRUDE,
1986-03-13,12.6,CRUDE,
1986-03-14,12.55,CRUDE,
1986-03-17,13.28,CRUDE,
1986-03-18,14.03,CRUDE,
1986-03-19,13.25,CRUDE,
1986-03-20,12.75,CRUDE,
1986-03-21,13.95,CRUDE,
1986-03-24,12.2,CRUDE,
1986-03-25,12.43,CRUDE,
1986-03-26,12.03,CRUDE,
1986-03-27,11.35,CRUDE,
1986-03-31,10.25,CRUDE,
1986-04-01,11.13,CRUDE,
1986-04-02,11.35,CRUDE,
1986-04-03,11.7,CRUDE,
1986-04-04,12.75,CRUDE,
1986-04-07,14.39,CRUDE,
1986-04-08,12.83,CRUDE,
1986-04-09,13,CRUDE,
1986-04-10,13.45,CRUDE,
1986-04-11,13.63,CRUDE,
1986-04-14,12.94,CRUDE,
1986-04-15,12.72,CRUDE,
1986-04-16,11.5,CRUDE,
1986-04-17,11.75,CRUDE,
1986-04-18,11.88,CRUDE,
1986-04-21,12.48,CRUDE,
1986-04-22,13.13,CRUDE,
1986-04-23,13.7,CRUDE,
1986-04-24,13.65,CRUDE,
1986-04-25,14.23,CRUDE,
1986-04-28,13.34,CRUDE,
1986-04-29,13.63,CRUDE,
1986-04-30,13.38,CRUDE,
1986-05-01,13.8,CRUDE,
1986-05-02,14.65,CRUDE,
1986-05-05,14.32,CRUDE,
1986-05-06,14.43,CRUDE,
