day,price,state
1986-06-02,0.468,NY
1986-06-02,0.445,TX
1986-06-03,0.436,NY
1986-06-03,0.418,TX
1986-06-04,0.418,NY
1986-06-04,0.398,TX
1986-06-05,0.415,TX
1986-06-05,0.431,NY
1986-06-06,0.403,TX
1986-06-06,0.421,NY
1986-06-09,0.409,NY
1986-06-09,0.398,TX
1986-06-10,0.405,NY
1986-06-10,0.395,TX
1986-06-11,0.42,TX
1986-06-11,0.431,NY
1986-06-12,0.436,NY
1986-06-12,0.425,TX
1986-06-13,0.445,NY
1986-06-13,0.434,TX
1986-06-16,0.429,NY
1986-06-16,0.419,TX
1986-06-17,0.418,TX
1986-06-17,0.422,NY
1986-06-18,0.411,NY
1986-06-18,0.406,TX
1986-06-19,0.415,NY
1986-06-19,0.408,TX
1986-06-20,0.406,NY
1986-06-20,0.408,TX
1986-06-23,0.395,TX
1986-06-23,0.406,NY
1986-06-24,0.409,NY
1986-06-24,0.393,TX
1986-06-25,0.411,TX
1986-06-25,0.419,NY
1986-06-26,0.405,NY
1986-06-26,0.394,TX
1986-06-27,0.4,TX
1986-06-27,0.405,NY
1986-06-30,0.385,TX
1986-06-30,0.399,NY
1986-07-01,0.384,TX
1986-07-01,0.391,NY
1986-07-02,0.377,NY
1986-07-02,0.369,TX
1986-07-03,0.366,TX
1986-07-03,0.373,NY
1986-07-07,0.354,NY
1986-07-07,0.345,TX
1986-07-08,0.349,TX
1986-07-08,0.35,NY
1986-07-09,0.339,TX
1986-07-09,0.341,NY
1986-07-10,0.35,NY
1986-07-10,0.345,TX
1986-07-11,0.334,NY
1986-07-11,0.331,TX
1986-07-14,0.319,NY
1986-07-14,0.316,TX
1986-07-15,0.333,TX
1986-07-15,0.338,NY
1986-07-16,0.343,TX
1986-07-16,0.344,NY
1986-07-17,0.331,TX
1986-07-17,0.335,NY
1986-07-18,0.344,NY
1986-07-18,0.335,TX
1986-07-21,0.339,TX
1986-07-21,0.349,NY
1986-07-22,0.325,TX
1986-07-22,0.328,NY
1986-07-23,0.335,NY
1986-07-23,0.319,TX
1986-07-24,0.33,NY
1986-07-24,0.319,TX
1986-07-25,0.321,NY
1986-07-25,0.31,TX
1986-07-28,0.308,NY
1986-07-28,0.305,TX
1986-07-29,0.316,TX
1986-07-29,0.315,NY
1986-07-30,0.329,NY
1986-07-30,0.321,TX
1986-07-31,0.309,NY
1986-07-31,0.305,TX
1986-08-01,0.311,TX
1986-08-01,0.318,NY
1986-08-04,0.355,TX
1986-08-04,0.358,NY
1986-08-05,0.401,NY
1986-08-05,0.39,TX
1986-08-06,0.41,NY
1986-08-06,0.396,TX
1986-08-07,0.42,NY
1986-08-07,0.409,TX
1986-08-08,0.401,TX
1986-08-08,0.411,NY
1986-08-11,0.413,NY
1986-08-11,0.404,TX
1986-08-12,0.436,NY
1986-08-12,0.433,TX
1986-08-13,0.431,TX
1986-08-13,0.441,NY
1986-08-14,0.441,NY
1986-08-14,0.43,TX
1986-08-15,0.439,TX
1986-08-15,0.446,NY
1986-08-18,0.45,NY
1986-08-18,0.446,TX
1986-08-19,0.426,TX
1986-08-19,0.436,NY
1986-08-20,0.435,TX
1986-08-20,0.446,NY
1986-08-21,0.438,TX
1986-08-21,0.446,NY
1986-08-22,0.439,TX
1986-08-22,0.443,NY
1986-08-25,0.43,TX
1986-08-25,0.443,NY
1986-08-26,0.426,TX
1986-08-26,0.448,NY
1986-08-27,0.426,TX
1986-08-27,0.44,NY
1986-08-28,0.446,NY
1986-08-28,0.434,TX
1986-08-29,0.439,TX
1986-08-29,0.453,NY
1986-09-02,0.444,TX
1986-09-02,0.459,NY
1986-09-03,0.436,TX
1986-09-03,0.454,NY
1986-09-04,0.441,TX
1986-09-04,0.457,NY
1986-09-05,0.444,TX
1986-09-05,0.46,NY
1986-09-08,0.431,TX
1986-09-08,0.441,NY
1986-09-09,0.416,TX
1986-09-09,0.429,NY
1986-09-10,0.4,TX
1986-09-10,0.417,NY
1986-09-11,0.419,NY
1986-09-11,0.4,TX
1986-09-12,0.424,NY
1986-09-12,0.401,TX
1986-09-15,0.413,NY
1986-09-15,0.385,TX
1986-09-16,0.378,TX
1986-09-16,0.398,NY
1986-09-17,0.406,NY
1986-09-17,0.376,TX
1986-09-18,0.379,TX
1986-09-18,0.412,NY
1986-09-19,0.379,TX
1986-09-19,0.412,NY
1986-09-22,0.401,NY
1986-09-22,0.369,TX
1986-09-23,0.376,TX
1986-09-23,0.406,NY
1986-09-24,0.378,TX
1986-09-24,0.406,NY
1986-09-25,0.376,TX
1986-09-25,0.397,NY
1986-09-26,0.381,TX
1986-09-26,0.399,NY
1986-09-29,0.385,TX
1986-09-29,0.402,NY
1986-09-30,0.385,TX
1986-09-30,0.401,NY
1986-10-01,0.401,TX
1986-10-01,0.416,NY
1986-10-02,0.426,NY
1986-10-02,0.409,TX
1986-10-03,0.414,NY
1986-10-03,0.398,TX
1986-10-06,0.408,NY
1986-10-06,0.395,TX
1986-10-07,0.412,TX
1986-10-07,0.423,NY
1986-10-08,0.408,TX
1986-10-08,0.426,NY
1986-10-09,0.421,NY
1986-10-09,0.404,TX
1986-10-10,0.416,NY
1986-10-10,0.398,TX
1986-10-14,0.388,TX
1986-10-14,0.406,NY
1986-10-15,0.418,NY
1986-10-15,0.4,TX
1986-10-16,0.399,TX
1986-10-16,0.411,NY
1986-10-17,0.402,TX
1986-10-17,0.415,NY
1986-10-20,0.411,TX
1986-10-20,0.422,NY
1986-10-21,0.42,NY
1986-10-21,0.408,TX
1986-10-22,0.402,TX
1986-10-22,0.407,NY
1986-10-23,0.399,TX
1986-10-23,0.406,NY
1986-10-24,0.405,TX
1986-10-24,0.412,NY
1986-10-27,0.389,TX
1986-10-27,0.396,NY
1986-10-28,0.389,NY
1986-10-28,0.394,TX
1986-10-29,0.382,TX
1986-10-29,0.372,NY
1986-10-30,0.395,NY
1986-10-30,0.395,TX
1986-10-31,0.401,NY
1986-10-31,0.406,TX
1986-11-03,0.396,NY
1986-11-03,0.394,TX
1986-11-04,0.409,TX
1986-11-04,0.407,NY
1986-11-05,0.406,NY
1986-11-05,0.406,TX
1986-11-06,0.411,TX
1986-11-06,0.409,NY
1986-11-07,0.406,TX
1986-11-07,0.406,NY
1986-11-10,0.409,TX
1986-11-10,0.41,NY
1986-11-11,0.411,TX
1986-11-11,0.413,NY
1986-11-12,0.414,TX
1986-11-12,0.411,NY
1986-11-13,0.419,TX
1986-11-13,0.416,NY
1986-11-14,0.419,NY
1986-11-14,0.416,TX
1986-11-17,0.414,TX
1986-11-17,0.417,NY
1986-11-18,0.414,NY
1986-11-18,0.413,TX
1986-11-19,0.419,NY
1986-11-19,0.416,TX
1986-11-20,0.41,TX
1986-11-20,0.41,NY
1986-11-21,0.412,NY
1986-11-21,0.411,TX
1986-11-24,0.404,NY
1986-11-24,0.405,TX
1986-11-25,0.409,NY
1986-11-25,0.402,TX
1986-11-26,0.407,TX
1986-11-26,0.412,NY
1986-11-28,0.412,NY
1986-11-28,0.407,TX
1986-12-01,0.409,TX
1986-12-01,0.414,NY
1986-12-02,0.408,TX
1986-12-02,0.417,NY
1986-12-03,0.419,NY
1986-12-03,0.403,TX
1986-12-04,0.419,NY
1986-12-04,0.4,TX
1986-12-05,0.4,TX
1986-12-05,0.418,NY
1986-12-08,0.41,NY
1986-12-08,0.396,TX
1986-12-09,0.41,NY
1986-12-09,0.393,TX
1986-12-10,0.416,NY
1986-12-10,0.396,TX
1986-12-11,0.405,TX
1986-12-11,0.427,NY
1986-12-12,0.432,NY
1986-12-12,0.41,TX
1986-12-15,0.414,TX
1986-12-15,0.438,NY
1986-12-16,0.43,NY
1986-12-16,0.406,TX
1986-12-17,0.429,NY
1986-12-17,0.395,TX
1986-12-18,0.407,TX
1986-12-18,0.434,NY
1986-12-19,0.416,TX
1986-12-19,0.444,NY
1986-12-22,0.428,TX
1986-12-22,0.457,NY
1986-12-23,0.454,NY
1986-12-23,0.422,TX
1986-12-24,0.456,NY
1986-12-24,0.425,TX
1986-12-29,0.464,NY
1986-12-29,0.439,TX
1986-12-30,0.457,NY
1986-12-30,0.455,TX
1986-12-31,0.47,TX
1986-12-31,0.476,NY
1987-01-02,0.474,TX
1987-01-02,0.484,NY
1987-01-05,0.466,TX
1987-01-05,0.475,NY
1987-01-06,0.476,TX
1987-01-06,0.484,NY
1987-01-07,0.483,NY
1987-01-07,0.476,TX
1987-01-08,0.493,NY
1987-01-08,0.487,TX
1987-01-09,0.502,TX
1987-01-09,0.506,NY
1987-01-12,0.514,TX
1987-01-12,0.515,NY
1987-01-13,0.5,TX
1987-01-13,0.501,NY
1987-01-14,0.503,TX
1987-01-14,0.505,NY
1987-01-15,0.496,TX
1987-01-15,0.501,NY
1987-01-16,0.492,NY
1987-01-16,0.489,TX
1987-01-19,0.494,TX
1987-01-19,0.484,NY
1987-01-20,0.503,TX
1987-01-20,0.495,NY
1987-01-21,0.486,NY
1987-01-21,0.491,TX
1987-01-22,0.491,NY
1987-01-22,0.499,TX
1987-01-23,0.493,TX
1987-01-23,0.481,NY
1987-01-26,0.487,TX
1987-01-26,0.474,NY
1987-01-27,0.474,NY
1987-01-27,0.491,TX
1987-01-28,0.471,NY
1987-01-28,0.49,TX
1987-01-29,0.482,NY
1987-01-29,0.501,TX
1987-01-30,0.488,NY
1987-01-30,0.504,TX
1987-02-02,0.496,TX
1987-02-02,0.49,NY
1987-02-03,0.488,NY
1987-02-03,0.495,TX
1987-02-04,0.495,TX
1987-02-04,0.495,NY
