,1986-06-02 00:00:00,0.468
0,1986-06-03,0.436
1,1986-06-04,0.418
2,1986-06-05,0.431
3,1986-06-06,0.421
4,1986-06-09,0.409
5,1986-06-10,0.405
6,1986-06-11,0.431
7,1986-06-12,0.436
8,1986-06-13,0.445
9,1986-06-16,0.429
10,1986-06-17,0.422
11,1986-06-18,0.411
12,1986-06-19,0.415
13,1986-06-20,0.406
14,1986-06-23,0.406
15,1986-06-24,0.409
16,1986-06-25,0.419
17,1986-06-26,0.405
18,1986-06-27,0.405
19,1986-06-30,0.399
20,1986-07-01,0.391
21,1986-07-02,0.377
22,1986-07-03,0.373
23,1986-07-07,0.354
24,1986-07-08,0.35
25,1986-07-09,0.341
26,1986-07-10,0.35
27,1986-07-11,0.334
28,1986-07-14,0.319
29,1986-07-15,0.338
30,1986-07-16,0.344
31,1986-07-17,0.335
32,1986-07-18,0.344
33,1986-07-21,0.349
34,1986-07-22,0.328
35,1986-07-23,0.335
36,1986-07-24,0.33
37,1986-07-25,0.321
38,1986-07-28,0.308
39,1986-07-29,0.315
40,1986-07-30,0.329
41,1986-07-31,0.309
42,1986-08-01,0.318
43,1986-08-04,0.358
44,1986-08-05,0.401
45,1986-08-06,0.41
46,1986-08-07,0.42
47,1986-08-08,0.411
48,1986-08-11,0.413
49,1986-08-12,0.436
50,1986-08-13,0.441
51,1986-08-14,0.441
52,1986-08-15,0.446
53,1986-08-18,0.45
54,1986-08-19,0.436
55,1986-08-20,0.446
56,1986-08-21,0.446
57,1986-08-22,0.443
58,1986-08-25,0.443
59,1986-08-26,0.448
60,1986-08-27,0.44
61,1986-08-28,0.446
62,1986-08-29,0.453
63,1986-09-02,0.459
64,1986-09-03,0.454
65,1986-09-04,0.457
66,1986-09-05,0.46
67,1986-09-08,0.441
68,1986-09-09,0.429
69,1986-09-10,0.417
70,1986-09-11,0.419
71,1986-09-12,0.424
72,1986-09-15,0.413
73,1986-09-16,0.398
74,1986-09-17,0.406
75,1986-09-18,0.412
76,1986-09-19,0.412
77,1986-09-22,0.401
78,1986-09-23,0.406
79,1986-09-24,0.406
80,1986-09-25,0.397
81,1986-09-26,0.399
82,1986-09-29,0.402
83,1986-09-30,0.401
84,1986-10-01,0.416
85,1986-10-02,0.426
86,1986-10-03,0.414
87,1986-10-06,0.408
88,1986-10-07,0.423
89,1986-10-08,0.426
90,1986-10-09,0.421
91,1986-10-10,0.416
92,1986-10-14,0.406
93,1986-10-15,0.418
94,1986-10-16,0.411
95,1986-10-17,0.415
96,1986-10-20,0.422
97,1986-10-21,0.42
98,1986-10-22,0.407
99,1986-10-23,0.406
